Image,Description,Price
https://www.tradeinn.com/h/13956/139560512/joma-set-clay-shoes.jpg,Joma Set Clay Shoes,50.99 €
https://www.tradeinn.com/h/13956/139560353/joma-open-clay-shoes.jpg,Joma Open Clay Shoes,100 €
https://www.tradeinn.com/h/13956/139560028/joma-break-clay-shoes.jpg,Joma Break Clay Shoes,83.99 €
https://www.tradeinn.com/h/14013/140137861/joma-ace-all-court-shoes.jpg,Joma Ace All Court Shoes,92.49 €
https://www.tradeinn.com/h/14013/140137904/joma-break-all-court-shoes.jpg,Joma Break All Court Shoes,95.99 €
https://www.tradeinn.com/h/13764/137646710/yonex-power-cushion-eclipsion-x-hard-court-shoes.jpg,Yonex Power Cushion Eclipsion X Hard Court Shoes,104.49 €
https://www.tradeinn.com/h/13809/138093523/drop-shot-argon-2xt-shoes.jpg,Drop Shot Argon 2XT Shoes,70.99 €
https://www.tradeinn.com/h/13809/138093524/drop-shot-xcelerator-xt-shoes.jpg,Drop Shot Xcelerator XT Shoes,64.49 €
https://www.tradeinn.com/h/14051/140512770/drop-shot-koa-b-xt-lima-padel-shoes.jpg,Drop Shot Koa-B XT Lima Padel Shoes,116.99 €
https://www.tradeinn.com/h/14051/140512784/drop-shot-xcellerator-xtw-padel-shoes.jpg,Drop Shot Xcellerator XTW Padel Shoes,69.99 €
https://www.tradeinn.com/h/14051/140512764/drop-shot-argon-2-xtw-padel-shoes.jpg,Drop Shot Argon 2 XTW Padel Shoes,77.99 €
https://www.tradeinn.com/h/14051/140512776/drop-shot-mylar-xtw-padel-shoes.jpg,Drop Shot Mylar XTW Padel Shoes,86.99 €
https://www.tradeinn.com/h/14051/140512778/drop-shot-neko-g-2xt-padel-shoes.jpg,Drop Shot Neko-G 2XT Padel Shoes,86.99 €
https://www.tradeinn.com/h/13876/138769376/drop-shot-dawa-g-xt-padel-shoes.jpg,Drop Shot Dawa-G XT Padel Shoes,63.99 €
https://www.tradeinn.com/h/14051/140512768/drop-shot-dorama-padel-shoes.jpg,Drop Shot Dorama Padel Shoes,70.99 €
https://www.tradeinn.com/h/14051/140512767/drop-shot-devil-xt-padel-shoes.jpg,Drop Shot Devil XT Padel Shoes,69.99 €
https://www.tradeinn.com/h/14051/140512777/drop-shot-neko-b-xt-padel-shoes.jpg,Drop Shot Neko-B XT Padel Shoes,86.99 €
https://www.tradeinn.com/h/14051/140512782/drop-shot-virtuo-v-xt-padel-shoes.jpg,Drop Shot Virtuo-V XT Padel Shoes,101.99 €
https://www.tradeinn.com/h/13809/138093521/drop-shot-mylar-xt-shoes.jpg,Drop Shot Mylar XT Shoes,68.99 €
https://www.tradeinn.com/h/13876/138769379/drop-shot-koa-b-xt-lima-padel-shoes.jpg,Drop Shot Koa-B XT Lima Padel Shoes,70.99 €
https://www.tradeinn.com/h/14008/140081611/mizuno-break-shot-4-cc-clay-shoes.jpg,Mizuno Break Shot 4 CC Clay Shoes,68.99 €
https://www.tradeinn.com/h/14008/140081709/mizuno-wave-exceed-light-2-ac-all-court-shoes.jpg,Mizuno Wave Exceed Light 2 AC All Court Shoes,101.99 €
https://www.tradeinn.com/h/14008/140081613/mizuno-break-shot-4-cc-clay-shoes.jpg,Mizuno Break Shot 4 CC Clay Shoes,68.99 €
https://www.tradeinn.com/h/13885/138858801/mizuno-wave-exceed-light-all-court-shoes.jpg,Mizuno Wave Exceed Light All Court Shoes,120 €
https://www.tradeinn.com/h/14008/140081710/mizuno-wave-exceed-light-2-ac-all-court-shoes.jpg,Mizuno Wave Exceed Light 2 AC All Court Shoes,101.99 €
https://www.tradeinn.com/h/14008/140081608/mizuno-break-shot-4-ac-all-court-shoes.jpg,Mizuno Break Shot 4 AC All Court Shoes,65 €
https://www.tradeinn.com/h/14008/140081606/mizuno-break-shot-4-ac-all-court-shoes.jpg,Mizuno Break Shot 4 AC All Court Shoes,68.99 €
https://www.tradeinn.com/h/14000/140007467/softee-rotatory-padel-shoes.jpg,Softee Rotatory Padel Shoes,44.99 €
https://www.tradeinn.com/h/14000/140007466/softee-rotatory-padel-shoes.jpg,Softee Rotatory Padel Shoes,44.99 €
https://www.tradeinn.com/h/13942/139429494/k-swiss-ultrashot-team-all-court-shoes.jpg,K-Swiss Ultrashot Team All Court Shoes,103.99 €
https://www.tradeinn.com/h/13958/139582366/k-swiss-hypercourt-supreme-hb-clay-shoes.jpg,K-Swiss Hypercourt Supreme HB Clay Shoes,180.00 € 130.99 €
https://www.tradeinn.com/h/13884/138847576/k-swiss-hypercourt-express-2-hb-clay-shoes.jpg,K-Swiss Hypercourt Express 2 HB Clay Shoes,150.00 € 127.49 €
https://www.tradeinn.com/h/13884/138847564/k-swiss-court-express-hb-clay-shoes.jpg,K-Swiss Court Express HB Clay Shoes,85.00 € 77.99 €
https://www.tradeinn.com/h/13940/139401291/munich-padx-all-court-shoes.jpg,Munich Padx All Court Shoes,61.99 €
https://www.tradeinn.com/h/13940/139401286/munich-oxygen-all-court-shoes.jpg,Munich Oxygen All Court Shoes,75.99 €
https://www.tradeinn.com/h/13940/139401290/munich-padx-all-court-shoes.jpg,Munich Padx All Court Shoes,61.99 €
https://www.tradeinn.com/h/13940/139400891/munich-atomik-all-court-shoes.jpg,Munich Atomik All Court Shoes,68.99 €
https://www.tradeinn.com/h/13940/139401286/munich-oxygen-all-court-shoes.jpg,Munich Oxygen All Court Shoes,75.99 €
https://www.tradeinn.com/h/13940/139401290/munich-padx-all-court-shoes.jpg,Munich Padx All Court Shoes,61.99 €
https://www.tradeinn.com/h/13887/138873958/munich-hydra-trainers.jpg,Munich Hydra Trainers,55.49 €
https://www.tradeinn.com/h/13862/138625896/salming-rebel-all-court-shoes.jpg,Salming Rebel All Court Shoes,81.99 €
https://www.tradeinn.com/h/13862/138625895/salming-rebel-all-court-shoes.jpg,Salming Rebel All Court Shoes,82.99 €
https://www.tradeinn.com/h/13934/139349403/lotto-superrapida-200-iii-indoor-shoes.jpg,Lotto Superrapida 200 III Indoor Shoes,62.96 €
https://www.tradeinn.com/h/13934/139349418/lotto-superrapida-200-iii-indoor-shoes.jpg,Lotto Superrapida 200 III Indoor Shoes,53.26 €
https://www.tradeinn.com/h/13869/138693163/kelme-new-betta-2-all-court-shoes.jpg,Kelme New Betta 2 All Court Shoes,33.49 €
https://www.tradeinn.com/h/13869/138693162/kelme-new-betta-2-all-court-shoes.jpg,Kelme New Betta 2 All Court Shoes,31.99 €
https://www.tradeinn.com/h/13989/139893742/kappa-kombat-loop-padel-shoes.jpg,Kappa Kombat Loop Padel Shoes,52.99 €
https://www.tradeinn.com/h/13989/139893741/kappa-kombat-loop-padel-shoes.jpg,Kappa Kombat Loop Padel Shoes,74.99 €
https://www.tradeinn.com/h/14027/140272468/bullpadel-comfort-pro-23i-padel-shoes.jpg,Bullpadel Comfort Pro 23i Padel Shoes,108.99 €
https://www.tradeinn.com/h/13963/139631362/babolat-movea-all-court-shoes.jpg,Babolat Movea All Court Shoes,73.99 €
https://www.tradeinn.com/h/13801/138014776/nox-at10-lux-shoes.jpg,Nox AT10 Lux Shoes,97.99 €
https://www.tradeinn.com/h/13963/139631363/babolat-movea-all-court-shoes.jpg,Babolat Movea All Court Shoes,78.99 €
https://www.tradeinn.com/h/13850/138503730/babolat-movea-all-court-shoes.jpg,Babolat Movea All Court Shoes,125.00 € 72.99 €
https://www.tradeinn.com/h/14021/140211835/babolat-movea-all-court-shoes.jpg,Babolat Movea All Court Shoes,85.99 €
https://www.tradeinn.com/h/13987/139879303/wilson-hurakn-2.0-padel-shoes.jpg,Wilson Hurakn 2.0 Padel Shoes,61.49 €
https://www.tradeinn.com/h/13987/139879301/wilson-hurakn-2.0-padel-shoes.jpg,Wilson Hurakn 2.0 Padel Shoes,62.99 €
https://www.tradeinn.com/h/14020/140200773/babolat-jet-premura-2-padel-shoes.jpg,Babolat Jet Premura 2 Padel Shoes,106.99 €
https://www.tradeinn.com/h/13948/139489056/head-motion-pro-padel-all-court-shoes.jpg,Head Motion Pro Padel All Court Shoes,89.99 €
https://www.tradeinn.com/h/13963/139631344/babolat-jet-premura-2-j.lebron-all-court-shoes.jpg,Babolat Jet Premura 2 J.Lebron All Court Shoes,84.99 €
https://www.tradeinn.com/h/13987/139879306/wilson-hurakn-pro-padel-shoes.jpg,Wilson Hurakn Pro Padel Shoes,81.99 €
https://www.tradeinn.com/h/13987/139879312/wilson-hurakn-team-padel-shoes.jpg,Wilson Hurakn Team Padel Shoes,50.99 €
https://www.tradeinn.com/h/14002/140023659/asics-gel-resolution-9-all-court-shoes.jpg,Asics Gel-Resolution 9 All Court Shoes,100.99 €
https://www.tradeinn.com/h/13991/139911072/puma-solarcourt-rct-padel-shoes.jpg,Puma Solarcourt Rct Padel Shoes,55.29 €
https://www.tradeinn.com/h/14020/140200774/babolat-jet-tere-all-court-shoes.jpg,Babolat Jet Tere All Court Shoes,75.99 €
https://www.tradeinn.com/h/13907/139078196/head-sprint-pro-3.5-sf-clay-shoes.jpg,Head Sprint Pro 3.5 SF Clay Shoes,81.99 €
https://www.tradeinn.com/h/13987/139879305/wilson-hurakn-2.0-padel-shoes.jpg,Wilson Hurakn 2.0 Padel Shoes,59.49 €
https://www.tradeinn.com/h/13987/139879310/wilson-hurakn-pro-padel-shoes.jpg,Wilson Hurakn Pro Padel Shoes,75.99 €
https://www.tradeinn.com/h/14003/140030731/asics-gel-resolution-9-clay-shoes.jpg,Asics Gel-Resolution 9 Clay Shoes,100.99 €
https://www.tradeinn.com/h/13987/139879308/wilson-hurakn-pro-padel-shoes.jpg,Wilson Hurakn Pro Padel Shoes,81.99 €
https://www.tradeinn.com/h/13801/138014774/nox-at10-lux-shoes.jpg,Nox AT10 Lux Shoes,97.99 €
https://www.tradeinn.com/h/13915/139150540/babolat-jet-premura-apt-all-court-shoes.jpg,Babolat Jet Premura APT All Court Shoes,106.99 €
https://www.tradeinn.com/h/13912/139125624/wilson-hurakn-team-shoes.jpg,Wilson Hurakn Team Shoes,50.99 €
https://www.tradeinn.com/h/13993/139934803/adidas-defiant-speed-clay-all-court-shoes.jpg,adidas Defiant Speed Clay All Court Shoes,72.49 €
https://www.tradeinn.com/h/13833/138335565/nox-ml10-hexa-shoes.jpg,Nox ML10 Hexa Shoes,89.99 €
https://www.tradeinn.com/h/14020/140200775/babolat-jet-tere-clay-shoes.jpg,Babolat Jet Tere Clay Shoes,75.99 €
https://www.tradeinn.com/h/13907/139078195/head-sprint-pro-3.5-sf-all-court-shoes.jpg,Head Sprint Pro 3.5 SF All Court Shoes,120.99 €
https://www.tradeinn.com/h/14002/140023689/asics-solution-speed-ff-2-clay-clay-shoes.jpg,Asics Solution Speed FF 2 Clay Clay Shoes,100.99 €
https://www.tradeinn.com/h/13776/137762438/babolat-movea-all-court-shoes.jpg,Babolat Movea All Court Shoes,115.00 € 44.99 €
https://www.tradeinn.com/h/14023/140236043/wilson-bela-pro-padel-shoes.jpg,Wilson Bela Pro Padel Shoes,108.99 €
https://www.tradeinn.com/h/13993/139934672/adidas-adizero-cybersonic-all-court-shoes.jpg,adidas Adizero Cybersonic All Court Shoes,108.49 €
https://www.tradeinn.com/h/13833/138335566/nox-ml10-hexa-shoes.jpg,Nox ML10 Hexa Shoes,89.99 €
https://www.tradeinn.com/h/13993/139934675/adidas-adizero-cybersonic-all-court-shoes.jpg,adidas Adizero Cybersonic All Court Shoes,99.99 €
https://www.tradeinn.com/h/13993/139934713/adidas-barricade-all-court-shoes.jpg,adidas Barricade All Court Shoes,82.99 €
https://www.tradeinn.com/h/13993/139934693/adidas-adizero-ubersonic-4.1-all-court-shoes.jpg,adidas Adizero Ubersonic 4.1 All Court Shoes,90.49 €
https://www.tradeinn.com/h/14003/140030618/asics-gel-dedicate-8-padel-shoes.jpg,Asics Gel-Dedicate 8 Padel Shoes,50.99 €
https://www.tradeinn.com/h/13926/139267035/nox-ml10-hexa-all-court-shoes.jpg,Nox ML10 Hexa All Court Shoes,89.99 €
https://www.tradeinn.com/h/13980/139804863/nox-at10-all-court-shoes.jpg,Nox AT10 All Court Shoes,81.99 €
https://www.tradeinn.com/h/13850/138503721/babolat-jet-premura-all-court-shoes.jpg,Babolat Jet Premura All Court Shoes,155.00 € 71.99 €
https://www.tradeinn.com/h/14020/140200770/babolat-jet-mach-3-all-court-shoes.jpg,Babolat Jet Mach 3 All Court Shoes,106.99 €
https://www.tradeinn.com/h/14043/140434287/wilson-rush-pro-ace-clay-shoes.jpg,Wilson Rush Pro Ace Clay Shoes,81.49 €
https://www.tradeinn.com/h/13993/139935020/adidas-solematch-control-all-court-shoes.jpg,adidas Solematch Control All Court Shoes,72.49 €
https://www.tradeinn.com/h/13993/139934698/adidas-adizero-ubersonic-4.1-cl-all-court-shoes.jpg,adidas Adizero Ubersonic 4.1 Cl All Court Shoes,90.49 €
https://www.tradeinn.com/h/13942/139429478/nox-lux-nerbo-all-court-shoes.jpg,Nox Lux Nerbo All Court Shoes,97.99 €
https://www.tradeinn.com/h/13993/139934772/adidas-courtjam-control-clay-all-court-shoes.jpg,adidas Courtjam Control Clay All Court Shoes,61.49 €
https://www.tradeinn.com/h/13993/139934701/adidas-adizero-ubersonic-4.1-cl-all-court-shoes.jpg,adidas Adizero Ubersonic 4.1 Cl All Court Shoes,90.49 €
https://www.tradeinn.com/h/13993/139934678/adidas-adizero-cybersonic-clay-all-court-shoes.jpg,adidas Adizero Cybersonic Clay All Court Shoes,122.99 €
https://www.tradeinn.com/h/13993/139934799/adidas-defiant-speed-all-court-shoes.jpg,adidas Defiant Speed All Court Shoes,81.99 €
https://www.tradeinn.com/h/13993/139934801/adidas-defiant-speed-all-court-shoes.jpg,adidas Defiant Speed All Court Shoes,81.99 €
https://www.tradeinn.com/h/13993/139934677/adidas-adizero-cybersonic-clay-all-court-shoes.jpg,adidas Adizero Cybersonic Clay All Court Shoes,108.49 €
https://www.tradeinn.com/h/13958/139582287/k-swiss-court-express-hb-clay-shoes.jpg,K-Swiss Court Express HB Clay Shoes,78.99 €
https://www.tradeinn.com/h/13948/139489261/head-sprint-team-3.5-clay-clay-shoes.jpg,Head Sprint Team 3.5 Clay Clay Shoes,56.49 €
https://www.tradeinn.com/h/13993/139934718/adidas-barricade-cl-all-court-shoes.jpg,adidas Barricade Cl All Court Shoes,90.49 €
https://www.tradeinn.com/h/13993/139935017/adidas-solematch-control-all-court-shoes.jpg,adidas Solematch Control All Court Shoes,81.99 €
https://www.tradeinn.com/h/13915/139150541/babolat-jet-premura-2-all-court-shoes.jpg,Babolat Jet Premura 2 All Court Shoes,106.99 €
https://www.tradeinn.com/h/14013/140138030/joma-open-hard-court-shoes.jpg,Joma Open Hard Court Shoes,72.49 €
https://www.tradeinn.com/h/14013/140138281/joma-slam-clay-shoes.jpg,Joma Slam Clay Shoes,70.99 €
https://www.tradeinn.com/h/13948/139489247/head-sprint-pro-3.5-clay-clay-shoes.jpg,Head Sprint Pro 3.5 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/14002/140023647/asics-gel-game-9-all-court-shoes.jpg,Asics Gel-Game 9 All Court Shoes,60.99 €
https://www.tradeinn.com/h/14013/140138032/joma-open-hard-court-shoes.jpg,Joma Open Hard Court Shoes,72.49 €
https://www.tradeinn.com/h/14013/140138267/joma-slam-clay-shoes.jpg,Joma Slam Clay Shoes,70.99 €
https://www.tradeinn.com/h/14043/140434232/wilson-kaos-swift-1.5-clay-shoes.jpg,Wilson Kaos Swift 1.5 Clay Shoes,76.49 €
https://www.tradeinn.com/h/13993/139934864/adidas-gamecourt-2-all-court-shoes.jpg,adidas Gamecourt 2 All Court Shoes,50.49 €
https://www.tradeinn.com/h/13993/139934717/adidas-barricade-cl-all-court-shoes.jpg,adidas Barricade Cl All Court Shoes,102.49 €
https://www.tradeinn.com/h/13993/139934674/adidas-adizero-cybersonic-all-court-shoes.jpg,adidas Adizero Cybersonic All Court Shoes,108.49 €
https://www.tradeinn.com/h/13993/139935021/adidas-solematch-control-clay-all-court-shoes.jpg,adidas Solematch Control Clay All Court Shoes,81.99 €
https://www.tradeinn.com/h/14003/140030603/asics-gel-dedicate-8-all-court-shoes.jpg,Asics Gel-Dedicate 8 All Court Shoes,50.99 €
https://www.tradeinn.com/h/14003/140030570/asics-gel-challenger-14-all-court-shoes.jpg,Asics Gel-Challenger 14 All Court Shoes,80.99 €
https://www.tradeinn.com/h/13947/139471159/drop-shot-virmo-all-court-shoes.jpg,Drop Shot Virmo All Court Shoes,54.49 €
https://www.tradeinn.com/h/13947/139471138/drop-shot-reis-all-court-shoes.jpg,Drop Shot Reis All Court Shoes,72.49 €
https://www.tradeinn.com/h/13991/139911071/puma-solarattack-rct-padel-shoes.jpg,Puma Solarattack Rct Padel Shoes,100.49 €
https://www.tradeinn.com/h/13948/139489203/head-revolt-pro-4.0-hard-court-shoes.jpg,Head Revolt Pro 4.0 Hard Court Shoes,105.99 €
https://www.tradeinn.com/h/13948/139489250/head-sprint-pro-3.5-clay-clay-shoes.jpg,Head Sprint Pro 3.5 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/13993/139934800/adidas-defiant-speed-all-court-shoes.jpg,adidas Defiant Speed All Court Shoes,81.99 €
https://www.tradeinn.com/h/13993/139934712/adidas-barricade-all-court-shoes.jpg,adidas Barricade All Court Shoes,102.49 €
https://www.tradeinn.com/h/14013/140138271/joma-slam-clay-shoes.jpg,Joma Slam Clay Shoes,70.99 €
https://www.tradeinn.com/h/14013/140137862/joma-ace-all-court-shoes.jpg,Joma Ace All Court Shoes,75.99 €
https://www.tradeinn.com/h/14008/140081727/mizuno-wave-exceed-tour-5-cc-clay-shoes.jpg,Mizuno Wave Exceed Tour 5 CC Clay Shoes,107.11 €
https://www.tradeinn.com/h/13884/138847585/k-swiss-ultrashot-team-all-court-shoes.jpg,K-Swiss Ultrashot Team All Court Shoes,103.99 €
https://www.tradeinn.com/h/13942/139429479/nox-lux-nerbo-all-court-shoes.jpg,Nox Lux Nerbo All Court Shoes,97.99 €
https://www.tradeinn.com/h/13948/139489249/head-sprint-pro-3.5-clay-clay-shoes.jpg,Head Sprint Pro 3.5 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/13948/139489192/head-revolt-pro-4.0-clay-clay-shoes.jpg,Head Revolt Pro 4.0 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/13966/139662015/bullpadel-comfort-23v-all-court-shoes.jpg,Bullpadel Comfort 23V All Court Shoes,100.99 €
https://www.tradeinn.com/h/14027/140272483/bullpadel-hack-vibram-23i-padel-shoes.jpg,Bullpadel Hack Vibram 23i Padel Shoes,128.99 €
https://www.tradeinn.com/h/14027/140272465/bullpadel-comfort-23i-padel-shoes.jpg,Bullpadel Comfort 23i Padel Shoes,101.99 €
https://www.tradeinn.com/h/14043/140434231/wilson-kaos-swift-1.5-clay-shoes.jpg,Wilson Kaos Swift 1.5 Clay Shoes,72.49 €
https://www.tradeinn.com/h/13941/139417125/adidas-solematch-control-all-court-shoes.jpg,adidas Solematch Control All Court Shoes,81.99 €
https://www.tradeinn.com/h/13842/138425313/adidas-courtjam-control-shoes.jpg,adidas Courtjam Control Shoes,90.00 € 57.99 €
https://www.tradeinn.com/h/13941/139416348/adidas-barricade-clay-all-court-shoes.jpg,adidas Barricade Clay All Court Shoes,150.00 € 83.99 €
https://www.tradeinn.com/h/14003/140030573/asics-gel-challenger-14-clay-shoes.jpg,Asics Gel-Challenger 14 Clay Shoes,80.99 €
https://www.tradeinn.com/h/14013/140138284/joma-slam-clay-shoes.jpg,Joma Slam Clay Shoes,70.99 €
https://www.tradeinn.com/h/14013/140138218/joma-set-clay-shoes.jpg,Joma Set Clay Shoes,52.49 €
https://www.tradeinn.com/h/14013/140138213/joma-set-clay-shoes.jpg,Joma Set Clay Shoes,52.49 €
https://www.tradeinn.com/h/13967/139679642/yonex-power-cushion-sonicage-3-clay-shoes.jpg,Yonex Power Cushion Sonicage 3 Clay Shoes,91.66 €
https://www.tradeinn.com/h/14008/140081704/mizuno-wave-enforce-tour-padel-shoes.jpg,Mizuno Wave Enforce Tour Padel Shoes,129.99 €
https://www.tradeinn.com/h/13980/139804867/nox-at10-lux-all-court-shoes.jpg,Nox AT10 Lux All Court Shoes,98.49 €
https://www.tradeinn.com/h/13801/138014777/nox-at10-shoes.jpg,Nox AT10 Shoes,59.49 €
https://www.tradeinn.com/h/13948/139489256/head-sprint-pro-3.5-hard-court-shoes.jpg,Head Sprint Pro 3.5 Hard Court Shoes,105.99 €
https://www.tradeinn.com/h/13948/139489189/head-revolt-pro-4.0-clay-clay-shoes.jpg,Head Revolt Pro 4.0 Clay Clay Shoes,105.99 €
https://www.tradeinn.com/h/13966/139662294/bullpadel-vertex-grip-23v-all-court-shoes.jpg,Bullpadel Vertex Grip 23V All Court Shoes,85.49 €
https://www.tradeinn.com/h/14027/140272467/bullpadel-comfort-23i-padel-shoes.jpg,Bullpadel Comfort 23i Padel Shoes,101.99 €
https://www.tradeinn.com/h/13896/138960866/adidas-gamecourt-2-shoes.jpg,adidas Gamecourt 2 Shoes,65.00 € 43.99 €
https://www.tradeinn.com/h/13993/139934715/adidas-barricade-all-court-shoes.jpg,adidas Barricade All Court Shoes,102.49 €
https://www.tradeinn.com/h/13941/139416261/adidas-adizero-ubersonic-4-lanzat-all-court-shoes.jpg,adidas Adizero Ubersonic 4 Lanzat All Court Shoes,150.00 € 83.99 €
https://www.tradeinn.com/h/13958/139582023/asics-solution-swift-ff-all-court-shoes.jpg,Asics Solution Swift Ff All Court Shoes,70.49 €
https://www.tradeinn.com/h/14003/140030608/asics-gel-dedicate-8-clay-shoes.jpg,Asics Gel-Dedicate 8 Clay Shoes,75.99 €
https://www.tradeinn.com/h/14003/140030604/asics-gel-dedicate-8-all-court-shoes.jpg,Asics Gel-Dedicate 8 All Court Shoes,75.99 €
https://www.tradeinn.com/h/14003/140030457/asics-solution-swift-ff-all-court-shoes.jpg,Asics Solution Swift FF All Court Shoes,80.99 €
https://www.tradeinn.com/h/13956/139560587/joma-smash-clay-shoes.jpg,Joma Smash Clay Shoes,83.99 €
https://www.tradeinn.com/h/13956/139560614/joma-spin-clay-shoes.jpg,Joma Spin Clay Shoes,56.99 €
https://www.tradeinn.com/h/14013/140138287/joma-smash-clay-shoes.jpg,Joma Smash Clay Shoes,79.96 €
https://www.tradeinn.com/h/13956/139560588/joma-smash-clay-shoes.jpg,Joma Smash Clay Shoes,83.99 €
https://www.tradeinn.com/h/14013/140138335/joma-spin-hard-court-shoes.jpg,Joma Spin Hard Court Shoes,62.49 €
https://www.tradeinn.com/h/13867/138679471/yonex-power-cushion-eclipsion-4-clay-shoes.jpg,Yonex Power Cushion Eclipsion 4 Clay Shoes,99.72 €
